,0,1,SAL_CODE
44,Boya,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50168/download/GCP_SAL50168.xlsx,50168
45,Brabham,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50173/download/GCP_SAL50173.xlsx,50173
46,Brentwood,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50178/download/GCP_SAL50178.xlsx,50178
47,Brigadoon,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50181/download/GCP_SAL50181.xlsx,50181
48,Brookdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50187/download/GCP_SAL50187.xlsx,50187
49,Bull Creek,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50201/download/GCP_SAL50201.xlsx,50201
50,Bullsbrook,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50207/download/GCP_SAL50207.xlsx,50207
51,Burns Beach,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50221/download/GCP_SAL50221.xlsx,50221
52,Burswood,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50226/download/GCP_SAL50226.xlsx,50226
53,Butler,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50229/download/GCP_SAL50229.xlsx,50229
54,Byford,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50230/download/GCP_SAL50230.xlsx,50230
55,Calista,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50235/download/GCP_SAL50235.xlsx,50235
56,Camillo,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50240/download/GCP_SAL50240.xlsx,50240
57,Canning Mills,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50244/download/GCP_SAL50244.xlsx,50244
58,Canning Vale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50245/download/GCP_SAL50245.xlsx,50245
59,Cannington,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50246/download/GCP_SAL50246.xlsx,50246
60,Carabooda,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50255/download/GCP_SAL50255.xlsx,50255
61,Cardup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50260/download/GCP_SAL50260.xlsx,50260
62,Carine,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50262/download/GCP_SAL50262.xlsx,50262
63,Carlisle,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50263/download/GCP_SAL50263.xlsx,50263
64,Carmel,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50265/download/GCP_SAL50265.xlsx,50265
65,Carramar,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50269/download/GCP_SAL50269.xlsx,50269
66,Casuarina,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50274/download/GCP_SAL50274.xlsx,50274
67,Caversham,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50277/download/GCP_SAL50277.xlsx,50277
68,Champion Lakes,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50281/download/GCP_SAL50281.xlsx,50281
69,Chidlow,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50290/download/GCP_SAL50290.xlsx,50290
70,Churchlands,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50293/download/GCP_SAL50293.xlsx,50293
71,City Beach,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50294/download/GCP_SAL50294.xlsx,50294
72,Claremont,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50296/download/GCP_SAL50296.xlsx,50296
73,Clarkson,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50297/download/GCP_SAL50297.xlsx,50297
